,voc_bin,depth,game_id,move_ply,voc,nodes,time,voc_mid
1085,"(0.672, 0.682]",14.0,46,46,46,46,46,0.677
1086,"(0.672, 0.682]",15.0,34,34,34,34,34,0.677
1087,"(0.672, 0.682]",16.0,40,40,40,40,40,0.677
1088,"(0.682, 0.692]",1.0,0,0,0,0,0,0.687
1089,"(0.682, 0.692]",2.0,1255,1255,1255,1255,1255,0.687
1090,"(0.682, 0.692]",3.0,671,671,671,671,671,0.687
1091,"(0.682, 0.692]",4.0,376,376,376,376,376,0.687
1092,"(0.682, 0.692]",5.0,496,496,496,496,496,0.687
1093,"(0.682, 0.692]",6.0,355,355,355,355,355,0.687
1094,"(0.682, 0.692]",7.0,398,398,398,398,398,0.687
1095,"(0.682, 0.692]",8.0,317,317,317,317,317,0.687
1096,"(0.682, 0.692]",9.0,235,235,235,235,235,0.687
1097,"(0.682, 0.692]",10.0,150,150,150,150,150,0.687
1098,"(0.682, 0.692]",11.0,106,106,106,106,106,0.687
1099,"(0.682, 0.692]",12.0,77,77,77,77,77,0.687
1100,"(0.682, 0.692]",13.0,72,72,72,72,72,0.687
1101,"(0.682, 0.692]",14.0,69,69,69,69,69,0.687
1102,"(0.682, 0.692]",15.0,45,45,45,45,45,0.687
1103,"(0.682, 0.692]",16.0,40,40,40,40,40,0.687
1104,"(0.692, 0.702]",1.0,0,0,0,0,0,0.697
1105,"(0.692, 0.702]",2.0,1169,1169,1169,1169,1169,0.697
1106,"(0.692, 0.702]",3.0,663,663,663,663,663,0.697
1107,"(0.692, 0.702]",4.0,327,327,327,327,327,0.697
1108,"(0.692, 0.702]",5.0,453,453,453,453,453,0.697
1109,"(0.692, 0.702]",6.0,340,340,340,340,340,0.697
1110,"(0.692, 0.702]",7.0,426,426,426,426,426,0.697
1111,"(0.692, 0.702]",8.0,255,255,255,255,255,0.697
1112,"(0.692, 0.702]",9.0,185,185,185,185,185,0.697
1113,"(0.692, 0.702]",10.0,149,149,149,149,149,0.697
1114,"(0.692, 0.702]",11.0,94,94,94,94,94,0.697
1115,"(0.692, 0.702]",12.0,86,86,86,86,86,0.697
1116,"(0.692, 0.702]",13.0,59,59,59,59,59,0.697
1117,"(0.692, 0.702]",14.0,37,37,37,37,37,0.697
1118,"(0.692, 0.702]",15.0,22,22,22,22,22,0.697
1119,"(0.692, 0.702]",16.0,31,31,31,31,31,0.697
1120,"(0.702, 0.712]",1.0,0,0,0,0,0,0.707
1121,"(0.702, 0.712]",2.0,1122,1122,1122,1122,1122,0.707
1122,"(0.702, 0.712]",3.0,560,560,560,560,560,0.707
1123,"(0.702, 0.712]",4.0,298,298,298,298,298,0.707
1124,"(0.702, 0.712]",5.0,437,437,437,437,437,0.707
1125,"(0.702, 0.712]",6.0,316,316,316,316,316,0.707
1126,"(0.702, 0.712]",7.0,398,398,398,398,398,0.707
1127,"(0.702, 0.712]",8.0,244,244,244,244,244,0.707
1128,"(0.702, 0.712]",9.0,186,186,186,186,186,0.707
1129,"(0.702, 0.712]",10.0,112,112,112,112,112,0.707
1130,"(0.702, 0.712]",11.0,103,103,103,103,103,0.707
1131,"(0.702, 0.712]",12.0,86,86,86,86,86,0.707
1132,"(0.702, 0.712]",13.0,50,50,50,50,50,0.707
1133,"(0.702, 0.712]",14.0,47,47,47,47,47,0.707
1134,"(0.702, 0.712]",15.0,38,38,38,38,38,0.707
1135,"(0.702, 0.712]",16.0,28,28,28,28,28,0.707
1136,"(0.712, 0.722]",1.0,0,0,0,0,0,0.717
1137,"(0.712, 0.722]",2.0,1011,1011,1011,1011,1011,0.717
1138,"(0.712, 0.722]",3.0,577,577,577,577,577,0.717
1139,"(0.712, 0.722]",4.0,290,290,290,290,290,0.717
1140,"(0.712, 0.722]",5.0,410,410,410,410,410,0.717
1141,"(0.712, 0.722]",6.0,271,271,271,271,271,0.717
1142,"(0.712, 0.722]",7.0,341,341,341,341,341,0.717
1143,"(0.712, 0.722]",8.0,239,239,239,239,239,0.717
1144,"(0.712, 0.722]",9.0,174,174,174,174,174,0.717
1145,"(0.712, 0.722]",10.0,113,113,113,113,113,0.717
1146,"(0.712, 0.722]",11.0,93,93,93,93,93,0.717
1147,"(0.712, 0.722]",12.0,65,65,65,65,65,0.717
1148,"(0.712, 0.722]",13.0,55,55,55,55,55,0.717
1149,"(0.712, 0.722]",14.0,33,33,33,33,33,0.717
1150,"(0.712, 0.722]",15.0,26,26,26,26,26,0.717
1151,"(0.712, 0.722]",16.0,30,30,30,30,30,0.717
1152,"(0.722, 0.732]",1.0,0,0,0,0,0,0.727
1153,"(0.722, 0.732]",2.0,1071,1071,1071,1071,1071,0.727
1154,"(0.722, 0.732]",3.0,506,506,506,506,506,0.727
1155,"(0.722, 0.732]",4.0,294,294,294,294,294,0.727
1156,"(0.722, 0.732]",5.0,387,387,387,387,387,0.727
1157,"(0.722, 0.732]",6.0,285,285,285,285,285,0.727
1158,"(0.722, 0.732]",7.0,301,301,301,301,301,0.727
1159,"(0.722, 0.732]",8.0,222,222,222,222,222,0.727
1160,"(0.722, 0.732]",9.0,156,156,156,156,156,0.727
1161,"(0.722, 0.732]",10.0,121,121,121,121,121,0.727
1162,"(0.722, 0.732]",11.0,89,89,89,89,89,0.727
1163,"(0.722, 0.732]",12.0,68,68,68,68,68,0.727
1164,"(0.722, 0.732]",13.0,55,55,55,55,55,0.727
1165,"(0.722, 0.732]",14.0,45,45,45,45,45,0.727
1166,"(0.722, 0.732]",15.0,43,43,43,43,43,0.727
1167,"(0.722, 0.732]",16.0,34,34,34,34,34,0.727
1168,"(0.732, 0.742]",1.0,0,0,0,0,0,0.737
1169,"(0.732, 0.742]",2.0,966,966,966,966,966,0.737
1170,"(0.732, 0.742]",3.0,503,503,503,503,503,0.737
1171,"(0.732, 0.742]",4.0,278,278,278,278,278,0.737
1172,"(0.732, 0.742]",5.0,396,396,396,396,396,0.737
1173,"(0.732, 0.742]",6.0,314,314,314,314,314,0.737
1174,"(0.732, 0.742]",7.0,307,307,307,307,307,0.737
1175,"(0.732, 0.742]",8.0,233,233,233,233,233,0.737
1176,"(0.732, 0.742]",9.0,162,162,162,162,162,0.737
1177,"(0.732, 0.742]",10.0,125,125,125,125,125,0.737
1178,"(0.732, 0.742]",11.0,99,99,99,99,99,0.737
1179,"(0.732, 0.742]",12.0,82,82,82,82,82,0.737
1180,"(0.732, 0.742]",13.0,49,49,49,49,49,0.737
1181,"(0.732, 0.742]",14.0,31,31,31,31,31,0.737
1182,"(0.732, 0.742]",15.0,25,25,25,25,25,0.737
1183,"(0.732, 0.742]",16.0,25,25,25,25,25,0.737
1184,"(0.742, 0.752]",1.0,0,0,0,0,0,0.747
1185,"(0.742, 0.752]",2.0,972,972,972,972,972,0.747
1186,"(0.742, 0.752]",3.0,538,538,538,538,538,0.747
1187,"(0.742, 0.752]",4.0,260,260,260,260,260,0.747
1188,"(0.742, 0.752]",5.0,370,370,370,370,370,0.747
1189,"(0.742, 0.752]",6.0,268,268,268,268,268,0.747
1190,"(0.742, 0.752]",7.0,318,318,318,318,318,0.747
1191,"(0.742, 0.752]",8.0,246,246,246,246,246,0.747
1192,"(0.742, 0.752]",9.0,135,135,135,135,135,0.747
1193,"(0.742, 0.752]",10.0,129,129,129,129,129,0.747
1194,"(0.742, 0.752]",11.0,88,88,88,88,88,0.747
1195,"(0.742, 0.752]",12.0,55,55,55,55,55,0.747
1196,"(0.742, 0.752]",13.0,49,49,49,49,49,0.747
1197,"(0.742, 0.752]",14.0,34,34,34,34,34,0.747
1198,"(0.742, 0.752]",15.0,31,31,31,31,31,0.747
1199,"(0.742, 0.752]",16.0,21,21,21,21,21,0.747
1200,"(0.752, 0.763]",1.0,0,0,0,0,0,0.7575000000000001
1201,"(0.752, 0.763]",2.0,931,931,931,931,931,0.7575000000000001
1202,"(0.752, 0.763]",3.0,455,455,455,455,455,0.7575000000000001
1203,"(0.752, 0.763]",4.0,237,237,237,237,237,0.7575000000000001
1204,"(0.752, 0.763]",5.0,344,344,344,344,344,0.7575000000000001
1205,"(0.752, 0.763]",6.0,272,272,272,272,272,0.7575000000000001
1206,"(0.752, 0.763]",7.0,330,330,330,330,330,0.7575000000000001
1207,"(0.752, 0.763]",8.0,234,234,234,234,234,0.7575000000000001
1208,"(0.752, 0.763]",9.0,149,149,149,149,149,0.7575000000000001
1209,"(0.752, 0.763]",10.0,106,106,106,106,106,0.7575000000000001
1210,"(0.752, 0.763]",11.0,80,80,80,80,80,0.7575000000000001
1211,"(0.752, 0.763]",12.0,77,77,77,77,77,0.7575000000000001
1212,"(0.752, 0.763]",13.0,53,53,53,53,53,0.7575000000000001
1213,"(0.752, 0.763]",14.0,38,38,38,38,38,0.7575000000000001
1214,"(0.752, 0.763]",15.0,25,25,25,25,25,0.7575000000000001
1215,"(0.752, 0.763]",16.0,28,28,28,28,28,0.7575000000000001
1216,"(0.763, 0.773]",1.0,0,0,0,0,0,0.768
1217,"(0.763, 0.773]",2.0,877,877,877,877,877,0.768
1218,"(0.763, 0.773]",3.0,555,555,555,555,555,0.768
1219,"(0.763, 0.773]",4.0,254,254,254,254,254,0.768
1220,"(0.763, 0.773]",5.0,349,349,349,349,349,0.768
1221,"(0.763, 0.773]",6.0,222,222,222,222,222,0.768
1222,"(0.763, 0.773]",7.0,307,307,307,307,307,0.768
1223,"(0.763, 0.773]",8.0,231,231,231,231,231,0.768
1224,"(0.763, 0.773]",9.0,150,150,150,150,150,0.768
1225,"(0.763, 0.773]",10.0,112,112,112,112,112,0.768
1226,"(0.763, 0.773]",11.0,67,67,67,67,67,0.768
1227,"(0.763, 0.773]",12.0,52,52,52,52,52,0.768
1228,"(0.763, 0.773]",13.0,40,40,40,40,40,0.768
1229,"(0.763, 0.773]",14.0,33,33,33,33,33,0.768
1230,"(0.763, 0.773]",15.0,25,25,25,25,25,0.768
1231,"(0.763, 0.773]",16.0,21,21,21,21,21,0.768
1232,"(0.773, 0.783]",1.0,0,0,0,0,0,0.778
1233,"(0.773, 0.783]",2.0,1050,1050,1050,1050,1050,0.778
1234,"(0.773, 0.783]",3.0,440,440,440,440,440,0.778
1235,"(0.773, 0.783]",4.0,239,239,239,239,239,0.778
1236,"(0.773, 0.783]",5.0,352,352,352,352,352,0.778
1237,"(0.773, 0.783]",6.0,238,238,238,238,238,0.778
1238,"(0.773, 0.783]",7.0,304,304,304,304,304,0.778
1239,"(0.773, 0.783]",8.0,209,209,209,209,209,0.778
1240,"(0.773, 0.783]",9.0,155,155,155,155,155,0.778
1241,"(0.773, 0.783]",10.0,108,108,108,108,108,0.778
1242,"(0.773, 0.783]",11.0,79,79,79,79,79,0.778
1243,"(0.773, 0.783]",12.0,52,52,52,52,52,0.778
1244,"(0.773, 0.783]",13.0,41,41,41,41,41,0.778
1245,"(0.773, 0.783]",14.0,46,46,46,46,46,0.778
1246,"(0.773, 0.783]",15.0,34,34,34,34,34,0.778
1247,"(0.773, 0.783]",16.0,16,16,16,16,16,0.778
1248,"(0.783, 0.793]",1.0,0,0,0,0,0,0.788
1249,"(0.783, 0.793]",2.0,981,981,981,981,981,0.788
1250,"(0.783, 0.793]",3.0,481,481,481,481,481,0.788
1251,"(0.783, 0.793]",4.0,209,209,209,209,209,0.788
1252,"(0.783, 0.793]",5.0,327,327,327,327,327,0.788
1253,"(0.783, 0.793]",6.0,254,254,254,254,254,0.788
1254,"(0.783, 0.793]",7.0,290,290,290,290,290,0.788
1255,"(0.783, 0.793]",8.0,197,197,197,197,197,0.788
1256,"(0.783, 0.793]",9.0,152,152,152,152,152,0.788
1257,"(0.783, 0.793]",10.0,93,93,93,93,93,0.788
1258,"(0.783, 0.793]",11.0,79,79,79,79,79,0.788
1259,"(0.783, 0.793]",12.0,66,66,66,66,66,0.788
1260,"(0.783, 0.793]",13.0,44,44,44,44,44,0.788
1261,"(0.783, 0.793]",14.0,27,27,27,27,27,0.788
1262,"(0.783, 0.793]",15.0,31,31,31,31,31,0.788
1263,"(0.783, 0.793]",16.0,30,30,30,30,30,0.788
1264,"(0.793, 0.803]",1.0,0,0,0,0,0,0.798
1265,"(0.793, 0.803]",2.0,980,980,980,980,980,0.798
1266,"(0.793, 0.803]",3.0,434,434,434,434,434,0.798
1267,"(0.793, 0.803]",4.0,226,226,226,226,226,0.798
1268,"(0.793, 0.803]",5.0,314,314,314,314,314,0.798
1269,"(0.793, 0.803]",6.0,240,240,240,240,240,0.798
1270,"(0.793, 0.803]",7.0,318,318,318,318,318,0.798
1271,"(0.793, 0.803]",8.0,208,208,208,208,208,0.798
1272,"(0.793, 0.803]",9.0,135,135,135,135,135,0.798
1273,"(0.793, 0.803]",10.0,123,123,123,123,123,0.798
1274,"(0.793, 0.803]",11.0,75,75,75,75,75,0.798
1275,"(0.793, 0.803]",12.0,56,56,56,56,56,0.798
1276,"(0.793, 0.803]",13.0,44,44,44,44,44,0.798
1277,"(0.793, 0.803]",14.0,24,24,24,24,24,0.798
1278,"(0.793, 0.803]",15.0,28,28,28,28,28,0.798
1279,"(0.793, 0.803]",16.0,19,19,19,19,19,0.798
1280,"(0.803, 0.813]",1.0,0,0,0,0,0,0.808
1281,"(0.803, 0.813]",2.0,894,894,894,894,894,0.808
1282,"(0.803, 0.813]",3.0,417,417,417,417,417,0.808
1283,"(0.803, 0.813]",4.0,218,218,218,218,218,0.808
1284,"(0.803, 0.813]",5.0,293,293,293,293,293,0.808
1285,"(0.803, 0.813]",6.0,217,217,217,217,217,0.808
1286,"(0.803, 0.813]",7.0,292,292,292,292,292,0.808
1287,"(0.803, 0.813]",8.0,185,185,185,185,185,0.808
1288,"(0.803, 0.813]",9.0,134,134,134,134,134,0.808
1289,"(0.803, 0.813]",10.0,108,108,108,108,108,0.808
1290,"(0.803, 0.813]",11.0,69,69,69,69,69,0.808
1291,"(0.803, 0.813]",12.0,50,50,50,50,50,0.808
1292,"(0.803, 0.813]",13.0,39,39,39,39,39,0.808
1293,"(0.803, 0.813]",14.0,39,39,39,39,39,0.808
1294,"(0.803, 0.813]",15.0,25,25,25,25,25,0.808
1295,"(0.803, 0.813]",16.0,32,32,32,32,32,0.808
1296,"(0.813, 0.823]",1.0,0,0,0,0,0,0.818
1297,"(0.813, 0.823]",2.0,910,910,910,910,910,0.818
1298,"(0.813, 0.823]",3.0,405,405,405,405,405,0.818
1299,"(0.813, 0.823]",4.0,200,200,200,200,200,0.818
1300,"(0.813, 0.823]",5.0,274,274,274,274,274,0.818
1301,"(0.813, 0.823]",6.0,202,202,202,202,202,0.818
1302,"(0.813, 0.823]",7.0,275,275,275,275,275,0.818
1303,"(0.813, 0.823]",8.0,208,208,208,208,208,0.818
1304,"(0.813, 0.823]",9.0,128,128,128,128,128,0.818
1305,"(0.813, 0.823]",10.0,85,85,85,85,85,0.818
1306,"(0.813, 0.823]",11.0,59,59,59,59,59,0.818
1307,"(0.813, 0.823]",12.0,42,42,42,42,42,0.818
1308,"(0.813, 0.823]",13.0,45,45,45,45,45,0.818
1309,"(0.813, 0.823]",14.0,36,36,36,36,36,0.818
1310,"(0.813, 0.823]",15.0,28,28,28,28,28,0.818
1311,"(0.813, 0.823]",16.0,15,15,15,15,15,0.818
1312,"(0.823, 0.833]",1.0,0,0,0,0,0,0.828
1313,"(0.823, 0.833]",2.0,929,929,929,929,929,0.828
1314,"(0.823, 0.833]",3.0,336,336,336,336,336,0.828
1315,"(0.823, 0.833]",4.0,202,202,202,202,202,0.828
1316,"(0.823, 0.833]",5.0,294,294,294,294,294,0.828
1317,"(0.823, 0.833]",6.0,190,190,190,190,190,0.828
1318,"(0.823, 0.833]",7.0,283,283,283,283,283,0.828
1319,"(0.823, 0.833]",8.0,201,201,201,201,201,0.828
1320,"(0.823, 0.833]",9.0,119,119,119,119,119,0.828
1321,"(0.823, 0.833]",10.0,109,109,109,109,109,0.828
1322,"(0.823, 0.833]",11.0,79,79,79,79,79,0.828
1323,"(0.823, 0.833]",12.0,68,68,68,68,68,0.828
1324,"(0.823, 0.833]",13.0,49,49,49,49,49,0.828
1325,"(0.823, 0.833]",14.0,28,28,28,28,28,0.828
1326,"(0.823, 0.833]",15.0,32,32,32,32,32,0.828
1327,"(0.823, 0.833]",16.0,24,24,24,24,24,0.828
1328,"(0.833, 0.843]",1.0,0,0,0,0,0,0.838
1329,"(0.833, 0.843]",2.0,792,792,792,792,792,0.838
1330,"(0.833, 0.843]",3.0,406,406,406,406,406,0.838
1331,"(0.833, 0.843]",4.0,172,172,172,172,172,0.838
1332,"(0.833, 0.843]",5.0,257,257,257,257,257,0.838
1333,"(0.833, 0.843]",6.0,212,212,212,212,212,0.838
1334,"(0.833, 0.843]",7.0,232,232,232,232,232,0.838
1335,"(0.833, 0.843]",8.0,189,189,189,189,189,0.838
1336,"(0.833, 0.843]",9.0,133,133,133,133,133,0.838
1337,"(0.833, 0.843]",10.0,86,86,86,86,86,0.838
1338,"(0.833, 0.843]",11.0,84,84,84,84,84,0.838
1339,"(0.833, 0.843]",12.0,55,55,55,55,55,0.838
1340,"(0.833, 0.843]",13.0,47,47,47,47,47,0.838
1341,"(0.833, 0.843]",14.0,35,35,35,35,35,0.838
1342,"(0.833, 0.843]",15.0,28,28,28,28,28,0.838
1343,"(0.833, 0.843]",16.0,20,20,20,20,20,0.838
1344,"(0.843, 0.853]",1.0,0,0,0,0,0,0.848
1345,"(0.843, 0.853]",2.0,768,768,768,768,768,0.848
1346,"(0.843, 0.853]",3.0,425,425,425,425,425,0.848
1347,"(0.843, 0.853]",4.0,175,175,175,175,175,0.848
1348,"(0.843, 0.853]",5.0,253,253,253,253,253,0.848
1349,"(0.843, 0.853]",6.0,190,190,190,190,190,0.848
1350,"(0.843, 0.853]",7.0,249,249,249,249,249,0.848
1351,"(0.843, 0.853]",8.0,188,188,188,188,188,0.848
1352,"(0.843, 0.853]",9.0,119,119,119,119,119,0.848
1353,"(0.843, 0.853]",10.0,95,95,95,95,95,0.848
1354,"(0.843, 0.853]",11.0,89,89,89,89,89,0.848
1355,"(0.843, 0.853]",12.0,55,55,55,55,55,0.848
1356,"(0.843, 0.853]",13.0,42,42,42,42,42,0.848
1357,"(0.843, 0.853]",14.0,26,26,26,26,26,0.848
1358,"(0.843, 0.853]",15.0,24,24,24,24,24,0.848
1359,"(0.843, 0.853]",16.0,20,20,20,20,20,0.848
1360,"(0.853, 0.864]",1.0,0,0,0,0,0,0.8585
1361,"(0.853, 0.864]",2.0,709,709,709,709,709,0.8585
1362,"(0.853, 0.864]",3.0,340,340,340,340,340,0.8585
1363,"(0.853, 0.864]",4.0,152,152,152,152,152,0.8585
1364,"(0.853, 0.864]",5.0,204,204,204,204,204,0.8585
1365,"(0.853, 0.864]",6.0,156,156,156,156,156,0.8585
1366,"(0.853, 0.864]",7.0,226,226,226,226,226,0.8585
1367,"(0.853, 0.864]",8.0,179,179,179,179,179,0.8585
1368,"(0.853, 0.864]",9.0,88,88,88,88,88,0.8585
1369,"(0.853, 0.864]",10.0,87,87,87,87,87,0.8585
1370,"(0.853, 0.864]",11.0,60,60,60,60,60,0.8585
1371,"(0.853, 0.864]",12.0,49,49,49,49,49,0.8585
1372,"(0.853, 0.864]",13.0,42,42,42,42,42,0.8585
1373,"(0.853, 0.864]",14.0,18,18,18,18,18,0.8585
1374,"(0.853, 0.864]",15.0,21,21,21,21,21,0.8585
1375,"(0.853, 0.864]",16.0,14,14,14,14,14,0.8585
1376,"(0.864, 0.874]",1.0,0,0,0,0,0,0.869
1377,"(0.864, 0.874]",2.0,654,654,654,654,654,0.869
1378,"(0.864, 0.874]",3.0,303,303,303,303,303,0.869
1379,"(0.864, 0.874]",4.0,136,136,136,136,136,0.869
1380,"(0.864, 0.874]",5.0,160,160,160,160,160,0.869
1381,"(0.864, 0.874]",6.0,160,160,160,160,160,0.869
1382,"(0.864, 0.874]",7.0,181,181,181,181,181,0.869
1383,"(0.864, 0.874]",8.0,129,129,129,129,129,0.869
1384,"(0.864, 0.874]",9.0,97,97,97,97,97,0.869
1385,"(0.864, 0.874]",10.0,78,78,78,78,78,0.869
1386,"(0.864, 0.874]",11.0,70,70,70,70,70,0.869
1387,"(0.864, 0.874]",12.0,58,58,58,58,58,0.869
1388,"(0.864, 0.874]",13.0,31,31,31,31,31,0.869
1389,"(0.864, 0.874]",14.0,26,26,26,26,26,0.869
1390,"(0.864, 0.874]",15.0,21,21,21,21,21,0.869
1391,"(0.864, 0.874]",16.0,12,12,12,12,12,0.869
1392,"(0.874, 0.884]",1.0,0,0,0,0,0,0.879
1393,"(0.874, 0.884]",2.0,555,555,555,555,555,0.879
1394,"(0.874, 0.884]",3.0,266,266,266,266,266,0.879
1395,"(0.874, 0.884]",4.0,126,126,126,126,126,0.879
1396,"(0.874, 0.884]",5.0,181,181,181,181,181,0.879
1397,"(0.874, 0.884]",6.0,124,124,124,124,124,0.879
1398,"(0.874, 0.884]",7.0,167,167,167,167,167,0.879
1399,"(0.874, 0.884]",8.0,128,128,128,128,128,0.879
1400,"(0.874, 0.884]",9.0,86,86,86,86,86,0.879
1401,"(0.874, 0.884]",10.0,71,71,71,71,71,0.879
1402,"(0.874, 0.884]",11.0,44,44,44,44,44,0.879
1403,"(0.874, 0.884]",12.0,33,33,33,33,33,0.879
1404,"(0.874, 0.884]",13.0,20,20,20,20,20,0.879
1405,"(0.874, 0.884]",14.0,15,15,15,15,15,0.879
1406,"(0.874, 0.884]",15.0,15,15,15,15,15,0.879
1407,"(0.874, 0.884]",16.0,9,9,9,9,9,0.879
1408,"(0.884, 0.894]",1.0,0,0,0,0,0,0.889
1409,"(0.884, 0.894]",2.0,498,498,498,498,498,0.889
1410,"(0.884, 0.894]",3.0,253,253,253,253,253,0.889
1411,"(0.884, 0.894]",4.0,104,104,104,104,104,0.889
1412,"(0.884, 0.894]",5.0,136,136,136,136,136,0.889
1413,"(0.884, 0.894]",6.0,119,119,119,119,119,0.889
1414,"(0.884, 0.894]",7.0,128,128,128,128,128,0.889
1415,"(0.884, 0.894]",8.0,127,127,127,127,127,0.889
1416,"(0.884, 0.894]",9.0,66,66,66,66,66,0.889
1417,"(0.884, 0.894]",10.0,67,67,67,67,67,0.889
1418,"(0.884, 0.894]",11.0,41,41,41,41,41,0.889
1419,"(0.884, 0.894]",12.0,26,26,26,26,26,0.889
1420,"(0.884, 0.894]",13.0,23,23,23,23,23,0.889
1421,"(0.884, 0.894]",14.0,18,18,18,18,18,0.889
1422,"(0.884, 0.894]",15.0,16,16,16,16,16,0.889
1423,"(0.884, 0.894]",16.0,7,7,7,7,7,0.889
1424,"(0.894, 0.904]",1.0,0,0,0,0,0,0.899
1425,"(0.894, 0.904]",2.0,519,519,519,519,519,0.899
1426,"(0.894, 0.904]",3.0,199,199,199,199,199,0.899
1427,"(0.894, 0.904]",4.0,92,92,92,92,92,0.899
1428,"(0.894, 0.904]",5.0,131,131,131,131,131,0.899
1429,"(0.894, 0.904]",6.0,97,97,97,97,97,0.899
1430,"(0.894, 0.904]",7.0,108,108,108,108,108,0.899
1431,"(0.894, 0.904]",8.0,95,95,95,95,95,0.899
1432,"(0.894, 0.904]",9.0,83,83,83,83,83,0.899
1433,"(0.894, 0.904]",10.0,53,53,53,53,53,0.899
1434,"(0.894, 0.904]",11.0,34,34,34,34,34,0.899
1435,"(0.894, 0.904]",12.0,27,27,27,27,27,0.899
1436,"(0.894, 0.904]",13.0,18,18,18,18,18,0.899
1437,"(0.894, 0.904]",14.0,23,23,23,23,23,0.899
1438,"(0.894, 0.904]",15.0,5,5,5,5,5,0.899
1439,"(0.894, 0.904]",16.0,11,11,11,11,11,0.899
1440,"(0.904, 0.914]",1.0,0,0,0,0,0,0.909
1441,"(0.904, 0.914]",2.0,442,442,442,442,442,0.909
1442,"(0.904, 0.914]",3.0,163,163,163,163,163,0.909
1443,"(0.904, 0.914]",4.0,84,84,84,84,84,0.909
1444,"(0.904, 0.914]",5.0,118,118,118,118,118,0.909
1445,"(0.904, 0.914]",6.0,89,89,89,89,89,0.909
1446,"(0.904, 0.914]",7.0,106,106,106,106,106,0.909
1447,"(0.904, 0.914]",8.0,84,84,84,84,84,0.909
1448,"(0.904, 0.914]",9.0,47,47,47,47,47,0.909
1449,"(0.904, 0.914]",10.0,52,52,52,52,52,0.909
1450,"(0.904, 0.914]",11.0,33,33,33,33,33,0.909
1451,"(0.904, 0.914]",12.0,22,22,22,22,22,0.909
1452,"(0.904, 0.914]",13.0,21,21,21,21,21,0.909
1453,"(0.904, 0.914]",14.0,15,15,15,15,15,0.909
1454,"(0.904, 0.914]",15.0,13,13,13,13,13,0.909
1455,"(0.904, 0.914]",16.0,8,8,8,8,8,0.909
1456,"(0.914, 0.924]",1.0,0,0,0,0,0,0.919
1457,"(0.914, 0.924]",2.0,397,397,397,397,397,0.919
1458,"(0.914, 0.924]",3.0,160,160,160,160,160,0.919
1459,"(0.914, 0.924]",4.0,83,83,83,83,83,0.919
1460,"(0.914, 0.924]",5.0,133,133,133,133,133,0.919
1461,"(0.914, 0.924]",6.0,75,75,75,75,75,0.919
1462,"(0.914, 0.924]",7.0,117,117,117,117,117,0.919
1463,"(0.914, 0.924]",8.0,94,94,94,94,94,0.919
1464,"(0.914, 0.924]",9.0,60,60,60,60,60,0.919
1465,"(0.914, 0.924]",10.0,32,32,32,32,32,0.919
1466,"(0.914, 0.924]",11.0,29,29,29,29,29,0.919
1467,"(0.914, 0.924]",12.0,18,18,18,18,18,0.919
1468,"(0.914, 0.924]",13.0,15,15,15,15,15,0.919
1469,"(0.914, 0.924]",14.0,10,10,10,10,10,0.919
1470,"(0.914, 0.924]",15.0,1,1,1,1,1,0.919
1471,"(0.914, 0.924]",16.0,9,9,9,9,9,0.919
1472,"(0.924, 0.934]",1.0,0,0,0,0,0,0.929
1473,"(0.924, 0.934]",2.0,506,506,506,506,506,0.929
1474,"(0.924, 0.934]",3.0,182,182,182,182,182,0.929
1475,"(0.924, 0.934]",4.0,92,92,92,92,92,0.929
1476,"(0.924, 0.934]",5.0,124,124,124,124,124,0.929
1477,"(0.924, 0.934]",6.0,90,90,90,90,90,0.929
1478,"(0.924, 0.934]",7.0,133,133,133,133,133,0.929
1479,"(0.924, 0.934]",8.0,93,93,93,93,93,0.929
1480,"(0.924, 0.934]",9.0,52,52,52,52,52,0.929
1481,"(0.924, 0.934]",10.0,46,46,46,46,46,0.929
1482,"(0.924, 0.934]",11.0,28,28,28,28,28,0.929
1483,"(0.924, 0.934]",12.0,26,26,26,26,26,0.929
1484,"(0.924, 0.934]",13.0,19,19,19,19,19,0.929
1485,"(0.924, 0.934]",14.0,13,13,13,13,13,0.929
1486,"(0.924, 0.934]",15.0,4,4,4,4,4,0.929
1487,"(0.924, 0.934]",16.0,8,8,8,8,8,0.929
1488,"(0.934, 0.944]",1.0,0,0,0,0,0,0.9390000000000001
1489,"(0.934, 0.944]",2.0,1106,1106,1106,1106,1106,0.9390000000000001
1490,"(0.934, 0.944]",3.0,313,313,313,313,313,0.9390000000000001
1491,"(0.934, 0.944]",4.0,149,149,149,149,149,0.9390000000000001
1492,"(0.934, 0.944]",5.0,215,215,215,215,215,0.9390000000000001
1493,"(0.934, 0.944]",6.0,135,135,135,135,135,0.9390000000000001
1494,"(0.934, 0.944]",7.0,212,212,212,212,212,0.9390000000000001
1495,"(0.934, 0.944]",8.0,130,130,130,130,130,0.9390000000000001
1496,"(0.934, 0.944]",9.0,90,90,90,90,90,0.9390000000000001
1497,"(0.934, 0.944]",10.0,52,52,52,52,52,0.9390000000000001
1498,"(0.934, 0.944]",11.0,38,38,38,38,38,0.9390000000000001
1499,"(0.934, 0.944]",12.0,40,40,40,40,40,0.9390000000000001
1500,"(0.934, 0.944]",13.0,25,25,25,25,25,0.9390000000000001
1501,"(0.934, 0.944]",14.0,12,12,12,12,12,0.9390000000000001
