voc_bin,0
"(-0.005, 0.0051]",160802986
"(0.0051, 0.0152]",28863249
"(0.0152, 0.0253]",19454800
"(0.0253, 0.0354]",14051271
"(0.0354, 0.0455]",10284383
"(0.0455, 0.0556]",7427316
"(0.0556, 0.0657]",5582996
"(0.0657, 0.0758]",4340679
"(0.0758, 0.0859]",3430145
"(0.0859, 0.096]",2728867
"(0.096, 0.106]",2222395
"(0.106, 0.116]",1819367
"(0.116, 0.126]",1531388
"(0.126, 0.136]",1271760
"(0.136, 0.146]",1085507
"(0.146, 0.157]",930283
"(0.157, 0.167]",802605
"(0.167, 0.177]",699407
"(0.177, 0.187]",613543
"(0.187, 0.197]",544255
"(0.197, 0.207]",482294
"(0.207, 0.217]",435595
"(0.217, 0.227]",391728
"(0.227, 0.237]",357827
"(0.237, 0.247]",325621
"(0.247, 0.258]",300479
"(0.258, 0.268]",279189
"(0.268, 0.278]",248206
"(0.278, 0.288]",226914
"(0.288, 0.298]",204545
"(0.298, 0.308]",186453
"(0.308, 0.318]",167834
"(0.318, 0.328]",151254
"(0.328, 0.338]",130405
"(0.338, 0.348]",116185
"(0.348, 0.359]",101662
"(0.359, 0.369]",87820
"(0.369, 0.379]",77308
"(0.379, 0.389]",67618
"(0.389, 0.399]",60432
"(0.399, 0.409]",53392
"(0.409, 0.419]",47371
"(0.419, 0.429]",45562
"(0.429, 0.439]",38950
"(0.439, 0.449]",36214
"(0.449, 0.46]",38213
"(0.46, 0.47]",41673
"(0.47, 0.48]",32292
"(0.48, 0.49]",47636
"(0.49, 0.5]",21365
"(0.5, 0.51]",20125
"(0.51, 0.52]",24202
"(0.52, 0.53]",15537
"(0.53, 0.54]",14452
"(0.54, 0.55]",13107
"(0.55, 0.561]",12163
"(0.561, 0.571]",11374
"(0.571, 0.581]",10429
"(0.581, 0.591]",10024
"(0.591, 0.601]",9145
"(0.601, 0.611]",8434
"(0.611, 0.621]",7630
"(0.621, 0.631]",7292
"(0.631, 0.641]",6767
"(0.641, 0.651]",6201
"(0.651, 0.662]",5659
"(0.662, 0.672]",5333
"(0.672, 0.682]",4746
"(0.682, 0.692]",4566
"(0.692, 0.702]",4395
"(0.702, 0.712]",4080
"(0.712, 0.722]",3767
"(0.722, 0.732]",3608
"(0.732, 0.742]",3589
"(0.742, 0.752]",3663
"(0.752, 0.763]",3315
"(0.763, 0.773]",3384
"(0.773, 0.783]",3382
"(0.783, 0.793]",3137
"(0.793, 0.803]",3246
"(0.803, 0.813]",2913
"(0.813, 0.823]",2857
"(0.823, 0.833]",2974
"(0.833, 0.843]",2769
"(0.843, 0.853]",2692
"(0.853, 0.864]",2397
"(0.864, 0.874]",2153
"(0.874, 0.884]",1723
"(0.884, 0.894]",1590
"(0.894, 0.904]",1419
"(0.904, 0.914]",1289
"(0.914, 0.924]",1263
"(0.924, 0.934]",1438
"(0.934, 0.944]",2515
"(0.944, 0.954]",1269
"(0.954, 0.965]",626
"(0.965, 0.975]",1037
"(0.975, 0.985]",14
"(0.985, 0.995]",11
"(0.995, 1.005]",69
