,depth,time
0,1,0.0011718728162124388
1,2,0.001224353598881901
2,3,0.0013087700908455625
3,4,0.0014477638015373865
4,5,0.00171659678546471
5,6,0.0021910202655485676
6,7,0.003055310971348707
7,8,0.0054381900768693215
8,9,0.010312438853948287
9,10,0.01913046820405311
10,11,0.03331051712089448
11,12,0.05666065688329839
12,13,0.0954788958770091
13,14,0.1566345562543676
14,15,0.2516838813375729
15,16,0.391081349414438
