,depth,nodes
0,1,52.31477987421383
1,2,104.57498252969951
2,3,187.63591893780574
3,4,355.1068134171908
4,5,682.5596436058701
5,6,1229.500244584207
6,7,2219.1395527603077
7,8,4702.433438155136
8,9,9146.997309573724
9,10,17574.362194269743
10,11,32549.419741439553
11,12,58490.264081062196
12,13,102774.6002795248
13,14,173448.8602725367
14,15,284623.5599426954
15,16,446691.19122531026
